[2025-06-20 08:59:41 : INFO] - Cache for URL: http://localhost/smartco/?page_id=83 has been purged, triggered by action: wp_trash_post 
[2025-06-20 08:59:41 : INFO] - Cache for URL: http://localhost/smartco/?page_id=83 has been purged, triggered by action: save_post 
[2025-06-20 09:00:23 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 09:24:26 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 09:24:26 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 09:24:27 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 09:26:42 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-06-20 09:33:16 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:38:31 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 09:42:42 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 09:42:43 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 09:42:43 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 09:42:49 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-2 has been purged, triggered by action: wp_trash_post 
[2025-06-20 09:42:49 : INFO] - Cache for URL: http://localhost/smartco/?post_type=elementskit_template&p=78 has been purged, triggered by action: save_post 
[2025-06-20 09:43:25 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:43:25 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:43:26 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:43:31 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header has been purged, triggered by action: wp_trash_post 
[2025-06-20 09:43:31 : INFO] - Cache for URL: http://localhost/smartco/?post_type=elementskit_template&p=68 has been purged, triggered by action: save_post 
[2025-06-20 09:44:39 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 09:44:39 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 09:44:40 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 09:51:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-20 09:51:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-20 09:51:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-20 09:51:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-20 09:55:03 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:55:03 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:55:03 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:56:49 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:56:49 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 09:56:49 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:01:09 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 10:01:09 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 10:01:09 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 10:02:29 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:02:30 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:02:31 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:02:48 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 10:02:48 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-20 10:02:48 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
